region,degree,betweenness,closeness,pagerank,system,condition
Frontal_Inf_Tri_L,83,0.001669118146349892,0.9368421052631579,0.014890116555009164,Subcortical,Depression
Frontal_Inf_Tri_R,83,0.0018086080107320174,0.9368421052631579,0.012994051906598431,Subcortical,Depression
Frontal_Inf_Orb_L,82,0.0023764063059219325,0.9270833333333334,0.013955011528743299,Subcortical,Depression
Frontal_Inf_Orb_R,77,0.0044795505269207,0.8811881188118812,0.010295487533752402,Subcortical,Depression
Rolandic_Oper_L,80,0.0029656108602539254,0.9081632653061225,0.012386252821888157,Somatomotor,Depression
Rolandic_Oper_R,46,0.0013187955708220942,0.6742424242424242,0.006859755456206181,Somatomotor,Depression
Supp_Motor_Area_L,82,0.0014936272950545025,0.9270833333333334,0.013644530493046456,Subcortical,Depression
Supp_Motor_Area_R,83,0.0022177078892724324,0.9368421052631579,0.014033542271901202,Subcortical,Depression
Olfactory_L,58,0.0012925585643010662,0.7416666666666667,-0.0024173721512752953,Subcortical,Depression
Olfactory_R,65,0.00136023944535273,0.7876106194690266,-0.004207765539069193,Subcortical,Depression
Frontal_Sup_Medial_L,77,0.001673033437059171,0.8811881188118812,0.010702378228007422,ExecutiveControl,Depression
Frontal_Sup_Medial_R,82,0.001979162324333814,0.9270833333333334,0.014126923079357626,ExecutiveControl,Depression
Frontal_Med_Orb_L,25,0.001227044213084352,0.5816993464052288,0.004036679428575685,Subcortical,Depression
Frontal_Med_Orb_R,82,0.0024457491269702708,0.9270833333333334,0.011302997815620379,Subcortical,Depression
Rectus_L,26,0.0007103491108491417,0.5855263157894737,0.0020097976762276358,Subcortical,Depression
Rectus_R,64,0.0012906558306972464,0.7807017543859649,-0.003749450832661143,Subcortical,Depression
Insula_L,83,0.0022177078892724324,0.9368421052631579,0.013033150108614111,Salience,Depression
Insula_R,36,0.0008461971253670475,0.6267605633802817,0.005600463438317708,Salience,Depression
Cingulum_Ant_L,55,0.0019644132817436422,0.7235772357723578,0.007297295379780512,ExecutiveControl,Depression
Cingulum_Ant_R,75,0.0017914304476918676,0.8640776699029126,0.010511914057696173,ExecutiveControl,Depression
Cingulum_Mid_L,82,0.003710103851418102,0.9270833333333334,0.012938695305555487,Subcortical,Depression
Cingulum_Mid_R,84,0.003550595345117515,0.9468085106382979,0.014406887752259826,Subcortical,Depression
Cingulum_Post_L,74,0.0028405754283235027,0.8557692307692307,0.009631013279554432,DefaultMode,Depression
Cingulum_Post_R,76,0.0008956621648343412,0.8725490196078431,0.0122723316717458,DefaultMode,Depression
Hippocampus_L,81,0.0016503764152317566,0.9175257731958762,0.012754685210109182,Memory,Depression
Hippocampus_R,80,0.0019089927040183132,0.9081632653061225,0.01050545841160873,Memory,Depression
ParaHippocampal_L,76,0.0011922894002994176,0.8725490196078431,0.010318008579685574,Memory,Depression
ParaHippocampal_R,47,0.0013631602658563515,0.6793893129770993,0.0064706189871782775,Memory,Depression
Amygdala_L,79,0.0011482249744815694,0.898989898989899,0.011835583755881422,Memory,Depression
Amygdala_R,74,0.0009610664411595781,0.8557692307692307,0.009557724613027287,Memory,Depression
Calcarine_L,83,0.0016251274634986334,0.9368421052631579,0.013097748795213695,Visual,Depression
Calcarine_R,83,0.003271387758487376,0.9368421052631579,0.012180235297518887,Visual,Depression
Cuneus_L,83,0.0022177078892724324,0.9368421052631579,0.012721495895686347,Visual,Depression
Cuneus_R,84,0.0024893532115660153,0.9468085106382979,0.014625474558783939,Visual,Depression
Lingual_L,82,0.00201789437527021,0.9270833333333334,0.014175521218877832,Visual,Depression
Lingual_R,81,0.0017255038505115347,0.9175257731958762,0.013047338963396165,Visual,Depression
Occipital_Sup_L,82,0.0019981579892702044,0.9270833333333334,0.014076506526232215,Visual,Depression
Occipital_Sup_R,81,0.0011815701677503675,0.9175257731958762,0.013244236764702811,Visual,Depression
Occipital_Mid_L,80,0.0009580524267465663,0.9081632653061225,0.014628013507601526,Visual,Depression
